"ID";"Plan";"Cod";"Nombre Corto";"Eje";"Área";"Medida";"Objetivo";"Descripción";"Tipo de Medida";"Area de aplicación";"Año inicio";"Plazo ejecución";"Responsable";"Colaboradores internos";"Colaboradores externos";"Vinculación normativa";"Adecuaciones Normativas";"Tecnología, infraestructura y recursos necesarios";"Potenciales barreras y obstáculos";"Potenciales fuentes de financiamiento";"Consideraciones de Genero";"Acciones";"Indicador";"Meta";"status"
"65";"Nunoa";"M-33";;"Mitigación";;"Programa de reducción municipal de consumo de energías fósiles";"Se busca mejorar la infraestructura municipal por medio de la implementación de una serie de adaptaciones tales como: 1) Instalación de paneles solares en todas sus dependencias. 2) Impermeabilización de oficinas e instalación de mecanismos de calefacción basados en energías renovables. 3) Reducción de flota vehicular con base en consumo de diésel o petróleo y aumento de flota con base en consumo electro o híbrido.";"Se busca reducir directamente la huella de carbono municipal en su gestión cotidiana. Se pretende ampliar esta medida a colegios municipales y sedes vecinales.";;;;"Largo Plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"66";"Nunoa";"M-34";;"Mitigación";;"Programa de Apoyo a la obtención de Energías Renovables";"Se compromete la gestión de convenios con productores sostenibles expertos en energías renovables, para ofrecer facilidades a las vecinas y vecinos en la instalación de paneles fotovoltaicos y otras alternativas de ahorro energético domiciliario, con el fin de estimular el aporte vecinal a la matriz energética comunal.";"Se pretende formar alianzas y convenios con expertos para lograr facilitar la implementación mecanismos de ahorro con base en energías renovables a los vecinos de la comuna. Se pretende ampliar esta matriz a colegios municipales y sedes vecinales.";;;;"Corto Plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo";;;;;
"67";"Nunoa";"M-35";;"Mitigación";"PLANIFICACIÓN Y GESTIÓN ENERGÉTICA, CON FOCO EN LA ADMINISTRACIÓN EFICIENTE DEL RECURSO HÍDRICO";"Evaluación de Compra de Derechos de Agua para uso y rehabilitación de napas y canales.";"Evaluar acciones que permitan la rehabilitación de cursos de agua y napas comunales.";"Se plantea evaluar la compra de derechos de agua del Canal San Carlos para la articulación de procesos de rehabilitación de cursos de agua y napas dentro de la comuna. Se pretende ampliar esta matriz a colegios municipales y sedes vecinales.";;;;"Largo Plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo";;;;;
"68";"Nunoa";"M-36";;"Mitigación";"INFRAESTRUCTURA SOSTENIBLE Y CAMBIO CLIMÁTICO";"Programa de implementación y acondicionamiento de Ciclovías comunales";"Se pretende aumentar la posibilidad de uso de medios de transporte no contaminantes a partir de la implementación de nuevas ciclovías y reacondicionamiento de aquellas que se usan en la actualidad";"Se pretende ampliar los km de ciclovía para dotar a la comuna de mayores facilidades para transporte no contaminante.";;;;"Largo Plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"69";"Nunoa";"M-37";;"Mitigación";"INFRAESTRUCTURA SOSTENIBLE Y CAMBIO CLIMÁTICO";"Implementación de transporte comunal gratuito para vecinas y vecinos eléctrico.";"Se incentivar el uso de medios de transporte sin emisiones de co2, con facilidad para que las vecinas y vecinos de la comuna puedan desplazarse sin necesidad del uso de automóvil o locomoción colectiva no adaptada al cambio climático.";"Compra o licitación de flota de vehículos de transporte urbano eléctrico.";;;;"Largo Plazo.";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"70";"Nunoa";"M-38";;"Adaptación";"INFRAESTRUCTURA SOSTENIBLE Y CAMBIO CLIMÁTICO";"Implementación de puntos de recaptación de aguas lluvias a nivel comunal.";"Implementar medidas para la recaptación de aguas lluvias en bien nacional de uso público para aprovechamiento del recurso hídrico, así como la experimentación con la irrigación de canales secos dentro de la comuna, con el fin de reabastecer napas subterráneas.";"Se pretende implementar medidas de reabastecimiento de suelos e instalación de infraestructura destinada a la recaptación de agua. Esta medida contempla el incentivo de pilotos en cedes vecinales y colegios.";;;;"Largo Plazo.";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"71";"Nunoa";"M-39";;"Mitigación";"INFRAESTRUCTURA SOSTENIBLE Y CAMBIO CLIMÁTICO";"Programa de despeje y rehabilitación de infraestructura crítica comunal";"Implementar acciones de detección e intervención de puntos de conflicto entre basura aérea, cámaras de seguridad, red eléctrica y otros servicios y arbolado urbano.";"A partir del diagnóstico municipal proporcionado por seguridad ciudadana, alumbrado público y la ciudadanía, se pretende trabajar en conjunto con empresas de servicios para optimizar la relación entre nuestra infraestructura urbana critica en caso de desastres naturales y nuestro arbolado urbano.";;;;"Corto a Mediano Plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"72";"Nunoa";"M-40";;"Mitigación";"INFRAESTRUCTURA SOSTENIBLE Y CAMBIO CLIMÁTICO";"Mesa comunal de gestión y prevención de desastres.";"Establecer planes comunales acotados a sectores socialmente comprometidos para prevención, control e intervención en caso de desastres naturales.";"A partir del diagnóstico municipal proporcionado por seguridad ciudadana, alumbrado público y la ciudadanía, se pretende trabajar articular una mesa de trabajo con participación ciudadana para la elaboración de Planes, programas y protocolos de intervención y subsanación de condiciones de riesgo en sectores de la comuna comprometidos.";;;;"Corto a Mediano Plazo.";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"73";"Nunoa";"M-41";;"Adaptación";"INCREMENTO Y CONSERVACIÓN DEL PATRIMONIO ARBÓREO, NUESTRAS ÁREAS VERDES Y LA BIODIVERSIDAD EN GENERAL";"Diseño de Plan Director de Arbolado Urbano";"Considerando que la fortaleza comunal para disminuir nuestras emisiones se relaciona directamente con la conservación y el incremento de nuestro patrimonio arbóreo, se plantea como objetivo establecer bases técnicas y alianzas estratégicas con universidades, Estado y otros municipios de la región, para elaborar un plan de arbolado urbano de largo plazo que se oriente a: 1) Incrementar el número de plantaciones anuales, con foco en sectores identificados como zonas de calor. 2) Selección de especies que reúnan los criterios, en términos de maximizar beneficios ecosistémicos con bajo recurso hídrico de mantenimiento, resistencia a la presencia de insectos y otros vectores, entre otros.";"El incremento y la planificación del proceso de incorporación de nuevos individuos, así como su elección, se comprende como una labor altamente técnica y científica, la que debe dialogar a la vez con la experiencia de un hábitat urbano, las más de las veces, poco adaptativo. Por esta razón, se han iniciado procesos de acercamiento a la academia y a la experiencia de otros municipios para rescatar lecciones y articular, en base a la información contenida en el catastro de arbolado un Plan Director que Impulse el incremento del patrimonio arbóreo.";;;;"Largo plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"74";"Nunoa";"M-42";;"Mitigación";"INCREMENTO Y CONSERVACIÓN DEL PATRIMONIO ARBÓREO, NUESTRAS ÁREAS VERDES Y LA BIODIVERSIDAD EN GENERAL";"Creación de un catastro de áreas verdes y zonas de intervención con paisajismo táctico.";"Se pretende diagnosticar el estado de las áreas verdes comunales con criterios de actualización de tecnologías para enfrentar el cambio climático con: 1) Incremento de riego tecnificado. 2) Evaluación de nuevas especies con criterio de bajo requerimiento hídrico. 3) Habilitación de puntos de hidratación. 4) Investigación y desarrollo vecinal de nuevos espacios verdes. 5) Articulación vecinal para creación de jardines sustentables en puntos críticos de desecho de residuos domiciliarios.";"Se pretende avanzar desde un modelo centrado en la mantención del área verde a uno dinámico que incorpora actores desde la sociedad civil en un proceso de investigación, desarrollo y aplicación de nuevas técnicas de creación de estos espacios, así como su uso para soluciones contingente frente a diversas problemáticas sanitarias.";;;;"Largo plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"75";"Nunoa";"M-43";;"Adaptación";"ECONOMÍA CIRCULAR BASADA EN LA GESTIÓN ESTRATÉGICA DE LOS RESIDUOS DOMICILIARIOS";"Crear y disponibilizar un catastro de proveedores sostenibles certificados.";"Estimular y apoyar el desarrollo de redes de proveedores de servicios y bienes acreditados como sostenibles y su identificación por parte de la ciudadanía, a través de alianzas e incentivos por medio de nuestra tarjeta vecino.";"Se pretende estimular el aumento de la exigencia por parte de los consumidores hacia los productores, tomando como eje el carácter sostenible de la producción de sus insumos. Asimismo, se pretende difundir y desmitificar la exclusividad de este tipo de mercados.";;;;"Largo plazo";;;;;;;;"Presupuesto municipal";;;;;
"76";"Nunoa";"M-44";;"Mitigación";"ECONOMÍA CIRCULAR BASADA EN LA GESTIÓN ESTRATÉGICA DE LOS RESIDUOS DOMICILIARIOS";"Impulsar eventos y ferias de emprendimiento verde a nivel comunal";"Estimular y apoyar el desarrollo de emprendimientos sostenibles dentro de la comuna, a través de plataformas de difusión municipal y actividades afines.";"Se pretende estimular un mercado local sostenible de productores, que permita ampliar la oferta de bienes y servicios creados a partir de una perspectiva carbono neutral.";;;;"Largo plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"77";"Nunoa";"M-45";;"Mitigación";"ECONOMÍA CIRCULAR BASADA EN LA GESTIÓN ESTRATÉGICA DE LOS RESIDUOS DOMICILIARIOS";"Establecer alianzas con proveedores para la reutilización de residuos no contemplados en la actualidad por la Ley REP";"Aumentar la oferta de residuos susceptibles de ser reciclados a nivel comunal";"Si bien la Ley REP ha designado a los GRANSIC para ejecutar el servicio de recolección de residuos susceptibles de ser reciclados, esta aun no avanza hacia la recolección de la totalidad de todos los materiales. En esta línea, se pretende generar convenios de recolección con proveedores para maximizar el potencial de recuperación de residuos a nivel comunal.";;;;"Largo plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"78";"Nunoa";"M-46";;"Adaptación";"ECONOMÍA CIRCULAR BASADA EN LA GESTIÓN ESTRATÉGICA DE LOS RESIDUOS DOMICILIARIOS";"Crear un Programa de educación ambiental con apoyo de diversos actores de la sociedad civil.";"Maximizar la capacidad educativa comunal en materia de medioambiente.";"Se busca crear un programa de educación y difusión de contenido medioambiental que permita identificar: 1) Contenidos relevantes. 2) Focos y audiencias. 3) Relatores o facilitadores dentro de la red comunal. 4) Plataformas de difusión. Que permita un intercambio de conocimientos y acciones en la materia, además de propiciar el apoyo institucional a las acciones más relevantes.";;;;"Largo plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"79";"Nunoa";"M-47";;"Adaptación";"ECONOMÍA CIRCULAR BASADA EN LA GESTIÓN ESTRATÉGICA DE LOS RESIDUOS DOMICILIARIOS";"Laboratorio de Iniciativas Sociales sostenibles";"Se plantea la necesidad de apoyar ideas de todo orden de escala e impacto emanadas de la sociedad civil en materia de resolución de problemáticas medioambientales, con apoyo municipal en todas sus etapas y estados de desarrollo";"Apoyar el desarrollo de la iniciativa local para la resolución de problemas medioambientales, mediante la asesoría, apoyo en la captación de recursos y la puesta en práctica de ideas que se alinean a la misión de este plan.";;;;"Largo plazo";;;;;;;;"Presupuesto municipal y fuentes de financiamiento externo.";;;;;
"80";"Nunoa";"M-48";;"Mitigación";"PROTECCIÓN COMUNAL Y FISCALIZACIÓN DEL COMPROMISO AMBIENTAL DEL PRIVADO EN LA COMUNA.";"Crear Unidad de fiscalización Municipal de Proyectos comunales";"Fortalecer la institucionalidad municipal para abordar de manera transversal y sostenible los impactos asociados gestión de proyectos urbanos, proponiendo mejores condiciones de compensación en las resoluciones de calificación de impacto ambiental, así como apoyar a la organización ciudadana para la defensa de su patrimonio natural y social.";"Se plantea la relevancia de crear una oficina municipal que oficie como contraparte municipal y de la ciudadanía ante el Servicio de Evaluación Medioambiental y las empresas que proponen proyectos urbanísticos en Ñuñoa, con el fin de asegurar y garantizar un estándar sostenible en la implementación, como en la generación de medidas compensatorias por causa de externalidades e impactos asociados a su construcción.";;;;"Corto plazo";;;;;;;;"Presupuesto municipal";;;;;
"81";"Vitacura";"M-49";;"Mitigación";"GESTIÓN DE RESIDUOS.";"1.1. Potenciar el sistema de reciclaje inorgánico comunal.";;"Fortalecimiento continuo del sistema de reciclaje inorgánico domiciliario, aumentando la adherencia de los vecinos; mejorando la gestión de residuos en las dependencias municipales y aumentando la usabilidad del punto limpio comunal. Para ello, se impulsarán diversas acciones comunicacionales y educativas dirigida a vecinos y funcionarios municipales, con el objetivo de aumentar el reciclaje inorgánico comunal.";;;;"2030";"DMAO";"DSI";"Empresa ReSimple";;;;"• Barrera cultural: dificultad en el cambio de hábitos de los vecinos. • Depender de un gestor único como ReSimple.";"Costo municipal";;;"% de residuos inorgánicos reciclados";"15%";
"82";"Vitacura";"M-50";;"Mitigación";"GESTIÓN DE RESIDUOS.";"1.2. Potenciar el sistema de reciclaje orgánico domiciliario.";;"Promoción y expansión del sistema de reciclaje orgánico, ampliando la participación ciudadana y la cantidad de residuos reciclados mediante diversas estrategias como, la valorización de ramas y podas, campañas educativas y de sensibilización, así como la entrega de kits de compostaje a hogares, comercios y establecimientos educacionales. Todo ello, con el objetivo de aumentar el reciclaje orgánico a nivel comunal.";;;;"2030";"DMAO";"DSI; Dirección de comunicaciones";"Empresa gestión de residuos";;;;"• Costo elevado del contrato de los residuos orgánicos. • Desinformación de los vecinos, dificultad en el cambio hábitos. • Instalación de largo plazo";"Costo municipal";;;"% de residuos orgánicos";"8%";
"83";"Vitacura";"M-51";;"Adaptación";"GESTIÓN DE RESIDUOS.";"1.3. Mercado sustentable.";;"El Mercado Sustentable es una actividad mensual que conecta a la comunidad con emprendedores y organizaciones dedicadas a la economía circular. Ofrece una experiencia integral y consciente, donde se reciben residuos difíciles de reciclar —no aceptados en puntos limpios convencionales— y se promueven hábitos sustentables. Además de reciclar, tiene como objetivo informar y educar a los visitantes sobre acciones clave para el medio ambiente como reducir, reparar, reutilizar y regenerar.";;;;"2030";"DSI";"DMAO; Dirección de comunicaciones";"Empresa productora";;;;"• Restricción presupuestaria. • Lograr una renovación continua de emprendedores y organizaciones. • Que pierda novedad en los temas que se exponen.";"Costo municipal";;;"% de visitas anual";"30%";
"84";"Vitacura";"M-52";;"Mitigación - Adaptación";"MOVILIDAD SUSTENTABLE";"2.1. Sistema de ciclo-movilidad compartido (Tres comunas).";;"Consolidar un sistema de transporte integrado, accesible y sustentable que facilite la conexión entre distintos modos de transporte, con el objetivo de incentivar la movilidad activa y el uso del transporte público. Esto permitirá promover desplazamientos seguros y de bajas emisiones, fortaleciendo la movilidad intercomunal.";;;"2026";"2030";"SECPLA";"DAU Tránsito y Transporte Público Seguridad Pública";"DTPM, GORE, Empresas privadas, otras Municipalidades";;;;"• Dificultades de coordinación con comunas vecinas. • Dificultades de fiscalización y ordenamiento de los vehículos sin estación (dockless) en el espacio público. • Dependerá de la contratación e implementación de tecnología idónea para medir el impacto.";"Sistema de concesiones y/o permisos precarios.";;;"% de aumento en viajes en ciclos";"10%";
"85";"Vitacura";"M-53";;"Mitigación";"MOVILIDAD SUSTENTABLE";"2.2. Red de ciclovías y pasarelas ciclos y peatones.";;"Consolidar una red integral de 47 km de ciclovías y pasarelas interconectadas, priorizando la conexión entre áreas residenciales, centros educativos, estaciones de transporte público y zonas comerciales, en concordancia con el Plan de Ciclovías y el Plan de Pasarelas. El objetivo es desincentivar el uso de vehículos impulsados por combustibles fósiles.";;;;"2030";"DAU (anteproyecto) SECPLA (desarrollo)";"DOM Dirección de Tránsito";"MINVU, MTT, GORE, desarrolladores inmobiliarios, consultores externos.";;;;"#¿NOMBRE?";"Dependerá de la etapa de desarrollo de cada anteproyecto.";;;"% de red construida de ciclovías";"50% (25 km total)";
"86";"Vitacura";"M-54";;"Mitigación - Adaptación";"MOVILIDAD SUSTENTABLE";"2.5. Campaña de comunicación movilidad sostenible.";;"Campaña de sensibilización sobre movilidad sostenible dirigida a los vecinos de Vitacura, cuyo objetivo es promover prácticas, técnicas y alternativas de transporte sustentable, como la movilidad activa, el uso de bicicletas, el transporte público y los vehículos eléctricos. La iniciativa busca fortalecer la conciencia ambiental, desincentivar el uso de vehículos a combustión y fomentar una participación activa de la comunidad en la construcción de una ciudad más limpia, eficiente y sustentable.";;;;"2027";"DSI";"DAU Dirección de comunicaciones";"MINVU, MTT, GORE, Startups, Consultores externos.";;;;"#¿NOMBRE?";"Costo municipal, Gobierno regional.";;;"N° de actividades educativas";"10 actividades";
"87";"Vitacura";"M-55";;"Adaptación";"INFRAESTRUCTURA VERDE";"3.1. Plan Director de Arbolado Urbano.";;"Implementación gradual de un plan de arborización en islas de calor urbanas (ICU) dentro del espacio público, con el objetivo de mitigar las altas temperaturas mediante la generación de sombra. Esta iniciativa también busca reducir la contaminación ambiental y acústica, retener el material particulado en suspensión y fomentar la biodiversidad, además de aportar valor estético al entorno. En conjunto, estas acciones contribuyen significativamente a mejorar la calidad de vida de la población.";;;"2024";"2030";"DMAO";"DSI DINC Dirección de Tránsito";;;;;"Muerte de árboles por factores externos o climáticos.";"Costo municipal.";;;"Nuevos árboles plantados entre 2024-2030";"3000 árboles";
"88";"Vitacura";"M-56";;"Adaptación";"INFRAESTRUCTURA VERDE";"3.2. Certificación de jardines biodiversos.";;"La certificación de jardines biodiversos promueve prácticas de manejo sustentable, respaldadas por evidencia científica, que buscan potenciar la biodiversidad en jardines privados, balcones y terrazas de la comuna. A través de asesorías y actividades de sensibilización, se invita a los vecinos a contribuir desde sus propios espacios a la conservación de la flora y fauna nativa, fomentando la conciencia ambiental y consolidando un movimiento ciudadano de embajadores de la biodiversidad. El objetivo es convertir cada jardín en un refugio para la naturaleza, integrando a la comunidad en la protección del entorno local.";;;"2024";"2030";"DSI";"DMAO";"Organismo Certificador Jardín Botánico Chagual";;;;"#¿NOMBRE?";"Costo municipal.";;;"N° de hogares certificados";"120 certificaciones";
"89";"Vitacura";"M-57";;"Adaptación";"INFRAESTRUCTURA VERDE";"3.3. Implementación corredores biológicos.";;"Recambio de vegetación en áreas verdes mediante la incorporación de especies de bajo consumo hídrico, junto con la creación de corredores biológicos como parte del Plan de Infraestructura Verde. Estas acciones buscan adaptar los espacios públicos al cambio climático, optimizar el uso del agua e incorporar biodiversidad, conectando distintas áreas verdes y proporcionando refugio y alimento a insectos y aves. De esta forma, se fortalece la resiliencia urbana mediante soluciones basadas en la naturaleza, garantizando la continuidad de los procesos ecológicos y la diversidad biológica.";;;;"2030";"SECPLA DMAO";"DSI DINC Dirección de Tránsito";;;;;"#¿NOMBRE?";"Costo municipal.";;;"N° de Corredores biológicos ejecutados";"7 corredores";
"90";"Vitacura";"M-58";;"Adaptación";"INFRAESTRUCTURA VERDE";"3.4. Educación a la comunidad sobre cuidado y mantención de áreas verdes.";;"Las actividades educativas, como talleres prácticos, recorridos interpretativos y proyectos participativos, tienen como objetivo fomentar la conciencia ambiental y fortalecer el vínculo de las comunidades con la naturaleza en entornos urbanos. A través de estas experiencias, se busca promover colectivamente un futuro más verde, resiliente y comprometido con la sostenibilidad.";;;;"2030";"DSI";"DMAO";;;;;"Dificultad de la medición de impacto en los hábitos que se instalan en las comunidades.";"Costo municipal.";;;"N° de actividades educativas con intervención comunitaria en plazas y parques realizadas en la comuna";"20 actividades";
"91";"Vitacura";"M-59";;"Mitigación";"EFICIENCIA ENERGÉTICA.";"4.1. Cambio de luminaria LED en espacios públicos.";;"Se continuará con el programa de recambio de luminarias en los espacios públicos de la comuna, reemplazando aquellas que aún utilizan sodio u otras tecnologías obsoletas por sistemas de iluminación LED. El objetivo es mejorar la eficiencia energética, optimizar el uso de los recursos municipales y avanzar hacia un modelo de alumbrado público más moderno y sostenible.";;;;"2030";"DINC";"SECPLA";"Ministerio de Energía Ministerio de Medio Ambiente SEC";;;;"Disponibilidad presupuestaria.";"Costo municipal.";;;"% de luminarias LED instaladas en espacios públicos";"100% del alumbrado público";
"92";"Vitacura";"M-60";;"Mitigación";"EFICIENCIA ENERGÉTICA.";"4.2. Flota vehicular municipal eléctrica.";;"Mantenimiento de la flota vehicular eléctrica del municipio de Vitacura, con el objetivo de reducir las emisiones de gases de efecto invernadero (GEI) y promover la electromovilidad.";;;;"2028";"DAF";"SECPLA";"Ministerio de Energía - Agencia de sustentabilidad";;;;"#¿NOMBRE?";"Costo municipal";;;"% de vehículos eléctricos de la flota total";"100%";
"93";"Vitacura";"M-61";;"Adaptación";"EFICIENCIA ENERGÉTICA.";"4.3. Campaña de comunicación en el uso eficiente de energía.";;"Campaña de sensibilización sobre el uso eficiente de la energía, dirigida a los sectores residencial y comercial, que difundirá prácticas, técnicas y tecnologías para reducir el consumo y mejorar el rendimiento energético. La iniciativa incluirá beneficios concretos, como descuentos en productos de eficiencia energética a través de la tarjeta VITA. El objetivo es fortalecer la conciencia ambiental, fomentar el ahorro energético y promover la participación activa de la comunidad en la construcción de un territorio más sustentable.";;;"2025";"2030";"DSI";"Dirección de Comunicaciones";"Ministerio de Energía - Agencia de sustentabilidad - SEC- SISS, DGA, Seremi RM";;;;"#¿NOMBRE?";"Costo municipal";;;"Nº de Campaña realizadas";"5 (1 anual)";
"94";"Vitacura";"M-62";;"Mitigación";"EFICIENCIA HÍDRICA.";"5.1. Riego tecnificado en áreas verdes.";;"Renovación tecnológica de los sistemas de riego en las áreas verdes de la comuna, incorporando tecnologías más eficientes e inteligentes. El objetivo principal es reducir significativamente el consumo de agua municipal y garantizar una gestión hídrica más sustentable para nuestras zonas verdes.";;;;"2030";"DMAO";"SECPLA DINC";"SISS-DGA";;;;"Disponibilidad presupuestaria.";"Costo municipal";;;"% de m2 de parques y plazas con riego tecnificado";"85%";
"95";"Vitacura";"M-63";;"Mitigación";"EFICIENCIA HÍDRICA.";"5.2. Reutilización de aguas grises en dependencias municipales.";;"Implementar proyecto piloto de reutilización de aguas grises para el riego de áreas verdes en edificios municipales.";;;;"2030";"DINC";"SECPLA DMAO";"MINVU, SISS, Seremi RM";;;;"1. Disponibilidad presupuestaria. 2.Definición de proyecto, que funcione para ciertas dependencias.";"Costo municipal";;;"N° de piloto ejecutado";"2 pilotos";
"96";"Vitacura";"M-64";;"Adaptación";"EFICIENCIA HÍDRICA.";"5.3. Estudio hidrológico e hidrogeológico de la comuna.";;"El estudio permitirá evaluar la disponibilidad y calidad de los recursos hídricos, anticipar su impacto en los proyectos y desarrollar estrategias que aseguren su uso sostenible. Además, resulta fundamental para proteger los acuíferos y ecosistemas acuáticos, garantizando su conservación a largo plazo.";;;;"2027";"DSI";"DMAO SECPLA";"SISS-DGA-Seremi RM";;;;"#¿NOMBRE?";"Costo municipal";;;"Estudio realizado";"Estudio terminado y validado";
"97";"Vitacura";"M-65";;"Adaptación";"EFICIENCIA HÍDRICA.";"5.4. Campaña de comunicación en el uso eficiente del agua.";;"Campaña de sensibilización sobre el uso eficiente del recurso hídrico dirigida a los vecinos de Vitacura (sectores residencial y comercial). Esta campaña especificará prácticas, técnicas y tecnologías para mejorar la eficiencia hídrica. El objetivo es fortalecer la conciencia ambiental, fomentar el ahorro de agua a nivel privado y promover la participación activa de la comunidad en la construcción de un territorio más sustentable.";;;;"2030";"DSI";"Dirección de Comunicaciones";"SISS-DGA- Seremi RM";;;;"1.-Disponibilidad presupuestaria. 2.- Participación e interés de los vecinos.";"Costo municipal";;;"Nº de Campaña realizadas";"5 (1 anual)";
"98";"Vitacura";"M-66";;"Adaptación";"REDUCCIÓN DE RIESGOS ANTE EFECTO CLIMÁTICO";"6.1. Estudio de riesgo de quebradas en Cordón Manquehue.";;"Estudio orientado a identificar los riesgos asociados a las quebradas del Cordón Manquehue, tales como aluviones, deslizamientos y remociones en masa. Su objetivo es reducir los impactos sobre la población, la infraestructura y el medio ambiente, fortaleciendo la resiliencia del territorio frente a eventos naturales.";;;;"2027";"DSI";"DINC";"SENAPRED";;;;"Disponibilidad presupuestaria";"Costo municipal";;;"Estudio realizado";"1 estudio terminado y validado";
"99";"Vitacura";"M-67";;"Adaptación";"GOBERNANZA FORTALECIMIENTO INSTITUCIONAL";"7.1 Educación sustentable en la comunidad escolar";;"El programa de educación ambiental para colegios y jardines infantiles contempla una serie de actividades formativas adaptadas a cada nivel educativo. Entre ellas se incluyen talleres, recorridos guiados, proyectos participativos y material pedagógico, con un enfoque en temáticas como reciclaje, biodiversidad, eficiencia energética, cambio climático y cuidado del agua. Su objetivo es fortalecer la conciencia ambiental desde la primera infancia, promoviendo hábitos sostenibles y fomentando una comunidad escolar comprometida con el desarrollo sustentable del territorio.";;;;"2030";"DSI";"SECPLA Dirección de educación y salud DECOM";"Colegios públicos y privados y jardines infantiles de la comuna";;;;"Adaptar los programas sin que afecten la malla curricular del establecimiento educacional";"Costo Municipal.";;;"% Participación establecimientos educacionales";"60%";
"100";"Vitacura";"M-68";;"Adaptación";"GOBERNANZA FORTALECIMIENTO INSTITUCIONAL";"7.2 Capacitación interna municipal";;"Estrategia de capacitación interna dirigida a los funcionarios municipales, mediante un plan estructurado que contemple una serie de acciones formativas en temáticas ambientales clave, tales como eficiencia energética e hídrica, energías renovables no convencionales (ERNC), gestión de residuos, biodiversidad urbana, movilidad sostenible y nuevas tecnologías aplicadas al medioambiente. El objetivo es fortalecer las competencias técnicas del equipo municipal y promover una cultura organizacional más consciente y comprometida con la sostenibilidad.";;;;"2030";"DSI";"Dirección de personas DMAO DAU";"Ministerio de Energía - Agencia de sustentabilidad - SEC- SISSSeremias RM-MTT";;;;"#¿NOMBRE?";"Costo Municipal.";;;"% de participación municipal en las capacitaciones anuales";"90%";
"101";"Vitacura";"M-69";;"Adaptación";"GOBERNANZA FORTALECIMIENTO INSTITUCIONAL";"7.3 Ordenanza Reciclaje.";;"Promulgación de ordenanza de reciclaje para Vitacura, para fiscalización y notificación en domicilios, comercios, etc., que estén sujetos al programa de reciclaje municipal.";;;;"2027";"DMAO DSI";"Dirección jurídica Dirección de Control Dirección de seguridad";;;;;"#¿NOMBRE?";"Costo Municipal.";;;"Creación de la ordenanza";"Ordenanza, aprobada por concejo y decretada";
"102";"Vitacura";"M-70";;"Adaptación";"GOBERNANZA FORTALECIMIENTO INSTITUCIONAL";"7.4 Plataforma interactiva Pública - Huella de Carbono Familiar";;"Implementar una plataforma virtual interactiva y de acceso público orientada a la comunidad para informarse sobre energía y agua, como también, medir, visualizar y reducir la huella de carbono personal.";;;;"2030";"DSI";"Dirección de Comunicaciones";"SISS-SEC-Ministerio de Medio Ambiente";;;;"#¿NOMBRE?";"Costo Municipal.";;;"Creación de plataforma";"Plataforma publicada en medios digitales";
"103";"Macul";"M-71";;;"FORTALECER LA EDUCACIÓN AMBIENTAL, LA GOBERNANZA CLIMÁTICA Y LA CULTURA DE LA SUSTENTABILIDAD A NIVEL COMUNAL";"Plan educativo preescolar";"Educación ambiental formal y comunitaria";;;;;"2026";;;;;;;;;;;;;
"104";"Macul";"M-72";;;"FORTALECER LA EDUCACIÓN AMBIENTAL, LA GOBERNANZA CLIMÁTICA Y LA CULTURA DE LA SUSTENTABILIDAD A NIVEL COMUNAL";"Plan educativo escolar";"Educación ambiental formal y comunitaria";;;;;"2026";;;;;;;;;;;;;
"105";"Macul";"M-73";;;"FORTALECER LA EDUCACIÓN AMBIENTAL, LA GOBERNANZA CLIMÁTICA Y LA CULTURA DE LA SUSTENTABILIDAD A NIVEL COMUNAL";"Plan educativo comunitario";"Educación ambiental formal y comunitaria";;;;;"2026";;;;;;;;;;;;;
"106";"Macul";"M-74";;;"FORTALECER LA EDUCACIÓN AMBIENTAL, LA GOBERNANZA CLIMÁTICA Y LA CULTURA DE LA SUSTENTABILIDAD A NIVEL COMUNAL";"Plan educativo y de difusión para funcionarios municipales";"Fortalecimiento de capacidades internas del municipio";;;;;"2027";;;;;;;;;;;;;
"107";"Macul";"M-75";;;"FORTALECER LA EDUCACIÓN AMBIENTAL, LA GOBERNANZA CLIMÁTICA Y LA CULTURA DE LA SUSTENTABILIDAD A NIVEL COMUNAL";"Creación de un reglamento municipal para la gestión eficiente del uso de material reciclable";"LA - 3: Gobernanza y regulación ambiental comunal";;;;;"2027";;;;;;;;;;;;;
